,name,date,platform,publisher,developer,shipped,total,america,europe,japan,other,vgc,critic,user,percent
29,Wii Sports,2006-11-19,Wii,Nintendo,Nintendo EAD,82.9,82.9,,,,,,7.7,,77
52,Mario Kart 8 Deluxe,2017-04-28,NS,Nintendo,Nintendo EPD,57.01,57.01,,,,,,9.3,,93
79,Super Mario Bros.,1985-10-18,NES,Nintendo,Nintendo EAD,40.24,40.24,,,,,,10.0,8.2,100
85,Mario Kart Wii,2008-04-27,Wii,Nintendo,Nintendo EAD,37.38,37.38,,,,,8.7,8.2,9.1,82
96,Minecraft,2010-05-10,PC,Mojang,Mojang AB,33.15,33.15,,,,,8.8,10.0,,100
97,Wii Sports Resort,2009-07-26,Wii,Nintendo,Nintendo EAD,33.14,33.14,,,,,8.8,8.0,8.8,80
102,Super Smash Bros. Ultimate,2018-12-07,NS,Nintendo,Bandai Namco Games,32.44,32.44,,,,,9.0,9.4,9.7,94
104,Pokémon Red / Green / Blue Version,1998-09-30,GB,Nintendo,Game Freak,31.38,31.38,,,,,,9.4,,94
105,The Legend of Zelda: Breath of the Wild,2017-03-03,NS,Nintendo,Nintendo EPD,31.15,31.15,,,,,,9.9,10.0,99
107,Call of Duty: Black Ops II,2012-11-13,All,Activision,Treyarch,31.0,31.0,,,,,,8.5,,85
111,New Super Mario Bros.,2006-05-15,DS,Nintendo,Nintendo EAD,30.8,30.8,,,,,,9.1,8.1,91
112,New Super Mario Bros. Wii,2009-11-15,Wii,Nintendo,Nintendo EAD,30.32,30.32,,,,,9.1,8.6,9.2,86
113,Call of Duty: Black Ops,2010-11-09,All,Activision,Treyarch,30.0,30.0,,,,,,8.3,,83
127,Wii Play,2007-02-12,Wii,Nintendo,Nintendo EAD,28.02,28.02,,,,,5.3,5.9,4.5,59
133,Super Mario Odyssey,2017-10-27,NS,Nintendo,Nintendo EPD,26.95,26.95,,,,,,9.9,,99
146,Kinect Adventures!,2010-11-04,X360,Microsoft Game Studios,Good Science Studio,24.0,24.0,,,,,6.2,6.7,,67
148,Nintendogs,2005-08-23,DS,Nintendo,Nintendo EAD,23.96,23.96,,,,,,8.4,,84
150,Mario Kart DS,2005-11-14,DS,Nintendo,Nintendo EAD,23.6,23.6,,,,,,9.1,9.4,91
154,Pokémon Gold / Silver Version,2000-10-14,GB,Nintendo,Game Freak,23.1,23.1,,,,,,9.2,,92
155,Terraria,2011-05-16,PC,Re-Logic,Re-Logic,23.0,23.0,,,,,,8.8,,88
157,Marvel's Spider-Man,2018-09-07,PS4,Sony Interactive Entertainment,Insomniac Games,22.69,22.69,,,,,8.0,9.1,,91
158,Wii Fit,2008-05-21,Wii,Nintendo,Nintendo EAD,22.67,22.67,,,,,8.0,7.9,,79
168,Wii Fit Plus,2009-10-04,Wii,Nintendo,Nintendo EAD,21.13,21.13,,,,,,8.0,,80
169,God of War (2018),2018-04-20,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,21.02,21.02,,,,,9.0,9.7,10.0,97
173,Super Mario World,1991-08-13,SNES,Nintendo,Nintendo EAD,20.61,20.61,,,,,,8.5,,85
176,Grand Theft Auto V,2013-09-17,PS3,Rockstar Games,Rockstar North,,20.32,6.37,9.85,0.99,3.12,9.5,9.4,,94
194,Super Mario Party,2018-10-05,NS,Nintendo,"Nd Cube Co., Ltd.",19.66,19.66,,,,,7.0,7.3,,73
196,Grand Theft Auto V,2014-11-18,PS4,Rockstar Games,Rockstar North,,19.39,6.06,9.71,0.6,3.02,,9.7,,97
197,Horizon: Zero Dawn,2017-02-28,PS4,Sony Interactive Entertainment,Guerrilla Games,19.3,19.3,,,,,,9.1,8.0,91
199,Brain Age: Train Your Brain in Minutes a Day,2006-04-17,DS,Nintendo,Nintendo SDD,19.01,19.01,,,,,,8.1,,81
204,Mario Kart 7,2011-12-04,3DS,Nintendo,Nintendo EAD / Retro Studios,18.98,18.98,,,,,9.0,8.2,,82
205,Uncharted 4: A Thief's End,2016-05-10,PS4,Sony Interactive Entertainment,Naughty Dog,18.65,18.65,,,,,,9.2,,92
206,The Last of Us Remastered,2014-07-29,PS4,Sony Computer Entertainment,Naughty Dog,18.63,18.63,,,,,,9.5,,95
214,Pokémon Diamond / Pearl Version,2007-04-28,DS,Nintendo,Game Freak,17.67,17.67,,,,,,8.6,,86
216,Grand Theft Auto: San Andreas,2004-10-26,PS2,Rockstar Games,Rockstar North,17.3,17.3,,,,,,9.5,,95
227,Pokémon X/Y,2013-10-12,3DS,Nintendo,Game Freak,16.72,16.72,,,,,8.7,8.9,9.3,89
231,Pokémon Sun/Moon,2016-11-18,3DS,Nintendo,Game Freak,16.32,16.32,,,,,,9.0,,90
232,Pokémon Ruby / Sapphire Version,2003-03-17,GBA,Nintendo,Game Freak,16.22,16.22,,,,,,8.8,,88
233,Grand Theft Auto: Vice City,2002-10-28,PS2,Rockstar Games,Rockstar North,,16.15,8.41,5.49,0.47,1.78,,9.6,,96
243,Pokémon Black / White Version,2011-03-06,DS,Nintendo,Game Freak,15.64,15.64,,,,,8.9,8.6,9.0,86
250,Counter-Strike: Source,2004-11-16,PC,VU Games,Valve Software,15.0,15.0,,,,,,9.3,,93
266,Gran Turismo 3: A-Spec,2001-07-09,PS2,Sony Computer Entertainment,Polyphony Digital,14.89,14.89,,,,,,9.3,,93
267,Brain Age 2: More Training in Minutes a Day,2007-08-20,DS,Nintendo,Nintendo SDD,14.88,14.88,,,,,,8.0,,80
269,Call of Duty: Modern Warfare 3,2011-11-08,X360,Activision,Infinity Ward,,14.82,9.07,4.29,0.13,1.33,,8.7,,87
270,Call of Duty: Black Ops,2010-11-09,X360,Activision,Treyarch,,14.74,9.76,3.73,0.11,1.14,,8.8,,88
272,Pokémon Yellow: Special Pikachu Edition,1999-10-19,GB,Nintendo,Game Freak,14.64,14.64,,,,,,8.7,,87
276,Halo 3,2007-09-25,X360,Microsoft Game Studios,Bungie Studios,14.5,14.5,,,,,8.8,9.6,9.5,96
288,Red Dead Redemption 2,2018-10-26,PS4,Rockstar Games,Rockstar Games,,13.94,5.26,6.21,0.21,2.26,8.0,9.8,,98
292,Splatoon 2,2017-07-21,NS,Nintendo,Nintendo EPD,13.6,13.6,,,,,,8.2,,82
293,Call of Duty: Modern Warfare 2,2009-11-10,X360,Activision,Infinity Ward,,13.53,8.54,3.63,0.08,1.28,9.0,9.5,9.0,95
296,New Super Mario Bros. 2,2012-08-19,3DS,Nintendo,Nintendo,13.42,13.42,,,,,7.6,7.5,,75
297,Call of Duty: WWII,2017-11-03,PS4,Activision,Sledgehammer Games,,13.4,4.67,6.21,0.4,2.12,,8.0,,80
298,Call of Duty: Modern Warfare 3,2011-11-08,PS3,Activision,Infinity Ward,,13.35,5.54,5.78,0.49,1.54,8.6,8.8,,88
299,Super Smash Bros. Brawl,2008-03-09,Wii,Nintendo,Project Sora,13.32,13.32,,,,,9.2,9.2,9.7,92
301,Grand Theft Auto III,2001-10-23,PS2,Rockstar Games,DMA Design,,13.1,6.99,4.51,0.3,1.3,,9.5,,95
303,Portal 2,2011-04-19,PC,Valve,Valve Software,13.06,13.06,,,,,,9.7,,97
304,Animal Crossing: New Leaf,2013-06-09,3DS,Nintendo,Nintendo EAD,13.05,13.05,,,,,9.0,8.6,,86
309,Stardew Valley,2016-02-26,PC,Chucklefish,ConcernedApe,13.0,13.0,,,,,,9.2,,92
311,Super Mario 3D Land,2011-11-13,3DS,Nintendo,Nintendo EAD Tokyo,12.88,12.88,,,,,9.1,8.9,,89
313,Super Mario Galaxy,2007-11-12,Wii,Nintendo,Nintendo EAD Tokyo,12.8,12.8,,,,,9.6,9.7,9.6,97
314,Pokémon Heart Gold / Soul Silver Version,2010-03-14,DS,Nintendo,Game Freak,12.72,12.72,,,,,8.5,8.6,,86
316,Call of Duty: Black Ops,2010-11-09,PS3,Activision,Treyarch,,12.67,6.01,4.4,0.48,1.78,8.7,8.7,,87
333,Diablo III,2012-05-15,PC,Blizzard Entertainment,Blizzard Entertainment,12.0,12.0,,,,,8.4,9.0,,90
334,Half-Life 2,2004-11-16,PC,VU Games,Valve Software,12.0,12.0,,,,,,9.7,,97
339,Pokémon FireRed / LeafGreen Version,2004-09-07,GBA,Nintendo,Game Freak,12.0,12.0,,,,,,8.3,,83
341,World of Warcraft,2004-11-23,PC,Blizzard Entertainment,Blizzard Entertainment,12.0,12.0,,,,,,9.2,8.0,92
342,Gran Turismo 5,2010-11-24,PS3,Sony Computer Entertainment,Polyphony Digital,11.95,11.95,,,,,8.8,8.3,,83
343,Super Mario 64,1996-09-29,N64,Nintendo,Nintendo EAD,11.91,11.91,,,,,,9.7,9.2,97
345,FIFA 18,2017-09-29,PS4,EA Sports,EA Vancouver,,11.8,1.27,8.64,0.15,1.73,,8.3,,83
346,Gran Turismo 4,2005-02-22,PS2,Sony Computer Entertainment,Polyphony Digital,11.76,11.76,,,,,,8.7,,87
347,Animal Crossing: Wild World,2005-12-05,DS,Nintendo,Nintendo EAD,11.75,11.75,,,,,,8.5,,85
356,Super Mario Land 2: 6 Golden Coins,1992-11-02,GB,Nintendo,Nintendo R&D1,11.18,11.18,,,,,,9.0,,90
358,Grand Theft Auto IV,2008-04-29,X360,Rockstar Games,Rockstar North,,11.09,6.8,3.11,0.14,1.04,9.0,10.0,,100
359,Super Mario 64 DS,2004-11-20,DS,Nintendo,Nintendo EAD,11.06,11.06,,,,,,8.6,,86
369,StarCraft,1998-04-01,PC,Blizzard Entertainment,Blizzard Entertainment,11.0,11.0,,,,,,8.7,,87
371,FIFA 17,2016-09-27,PS4,Electronic Arts,EA Canada,,10.94,1.26,7.95,0.12,1.61,,8.9,,89
373,Gran Turismo,1998-04-30,PS,Sony Computer Entertainment,Polyphony Digital,10.85,10.85,,,,,,9.5,,95
377,Call of Duty: Modern Warfare 2,2009-11-10,PS3,Activision,Infinity Ward,,10.61,4.99,3.66,0.38,1.59,9.0,9.5,,95
378,Grand Theft Auto IV,2008-04-29,PS3,Rockstar Games,Rockstar North,,10.57,4.79,3.73,0.44,1.62,9.0,10.0,9.0,100
384,Call of Duty: Ghosts,2013-11-05,X360,Activision,Infinity Ward,,10.41,6.76,2.64,0.04,0.98,,6.9,,69
386,The Last of Us Part II,2020-06-19,PS4,Sony Interactive Entertainment,Naughty Dog,10.3,10.3,,,,,7.0,9.4,,94
387,Call of Duty: Ghosts,2013-11-05,PS3,Activision,Infinity Ward,,10.13,4.11,4.01,0.39,1.62,,7.5,,75
406,Just Dance 2,2010-10-12,Wii,Ubisoft,Ubisoft Paris,10.0,10.0,,,,,7.5,7.3,,73
407,Just Dance 3,2011-10-07,Wii,Ubisoft,Ubisoft Paris,10.0,10.0,,,,,,7.5,,75
414,RollerCoaster Tycoon 3,2004-10-26,PC,Atari,Frontier Developments,10.0,10.0,,,,,,8.3,,83
430,Halo: Reach,2010-09-14,X360,Microsoft Game Studios,Bungie,,9.97,7.08,2.01,0.08,0.8,9.6,9.3,,93
431,Portal,2008-04-09,PC,Valve Corporation,Valve Software,9.97,9.97,,,,,,9.0,,90
434,Final Fantasy VII,1997-09-03,PS,Sony Computer Entertainment,SquareSoft,9.9,9.9,,,,,,9.6,9.5,96
437,Mario Kart 64,1997-02-10,N64,Nintendo,Nintendo EAD,9.87,9.87,,,,,,8.5,,85
442,Super Smash Bros. for 3DS,2014-10-03,3DS,Nintendo,Bandai Namco Games,9.64,9.64,,,,,8.6,8.4,,84
445,Call of Duty 4: Modern Warfare,2007-11-05,X360,Activision,Infinity Ward,,9.41,5.98,2.39,0.13,0.91,,9.6,9.0,96
446,Gran Turismo 2,1999-01-17,PS,Sony Computer Entertainment,Polyphony Digital,9.37,9.37,,,,,,9.2,,92
449,Wii Party,2010-10-03,Wii,Nintendo,"Nd Cube Co., Ltd.",9.35,9.35,,,,,,7.0,,70
451,Mario Party DS,2007-11-19,DS,Nintendo,Hudson Soft,9.31,9.31,,,,,,7.1,,71
452,Donkey Kong Country,1994-11-21,SNES,Nintendo,Rare Ltd.,9.3,9.3,,,,,,9.0,,90
453,Half-Life,1998-11-19,PC,Sierra Entertainment,Valve Software,9.3,9.3,,,,,,9.5,,95
454,Uncharted 3: Drake's Deception,2011-11-01,PS3,Sony Computer Entertainment,Naughty Dog,9.3,9.3,,,,,9.0,9.3,6.3,93
455,Pokémon: Ultra Sun and Ultra Moon,2017-11-17,3DS,Nintendo,Game Freak,9.19,9.19,,,,,,8.1,,81
458,Rust,2018-02-08,PC,Facepunch Studios,Facepunch Studios,9.02,9.02,,,,,,6.1,,61
474,The Elder Scrolls V: Skyrim,2011-11-11,X360,Bethesda Softworks,Bethesda Game Studios,,8.88,5.1,2.83,0.1,0.85,,9.3,,93
475,Mario Party 8,2007-05-29,Wii,Nintendo,Hudson Soft,8.85,8.85,,,,,,6.5,,65
476,Super Mario Kart,1992-09-01,SNES,Nintendo,Nintendo EAD,8.76,8.76,,,,,,10.0,,100
477,Grand Theft Auto V,2014-11-18,XOne,Rockstar Games,Rockstar North,,8.72,4.7,3.25,0.01,0.76,,9.0,9.0,90
479,Final Fantasy VIII,1999-09-07,PS,Square EA,SquareSoft,8.6,8.6,,,,,,9.4,,94
480,Final Fantasy X,2001-12-17,PS2,Square,SquareSoft,8.6,8.6,,,,,,9.0,10.0,90
484,Pokémon Black 2 and White 2,2012-10-07,DS,Nintendo,Game Freak,8.52,8.52,,,,,8.9,8.0,8.3,80
488,Fallout 4,2015-11-10,PS4,Bethesda Softworks,Bethesda Game Studios,,8.48,2.91,3.97,0.27,1.34,,8.6,,86
489,Mario Kart 8,2014-05-30,WiiU,Nintendo,Nintendo,8.46,8.46,,,,,8.4,8.8,,88
492,Tekken 3,1998-04-29,PS,Namco,Namco,8.36,8.36,,,,,,9.6,,96
494,FIFA 16,2015-09-22,PS4,EA Sports,EA Canada,,8.22,1.15,5.77,0.07,1.23,,8.5,,85
496,The Last of Us,2013-06-14,PS3,Sony Computer Entertainment America,Naughty Dog,8.15,8.15,,,,,9.5,9.5,,95
497,GoldenEye 007,1997-08-25,N64,Nintendo,Rare Ltd.,8.09,8.09,,,,,,9.8,,98
498,Star Wars Battlefront (2015),2015-11-17,PS4,Electronic Arts,EA DICE,,8.03,3.31,3.19,0.23,1.3,,7.1,,71
503,Ghost of Tsushima,2020-07-17,PS4,Sony Interactive Entertainment,Sucker Punch,8.0,8.0,,,,,5.0,8.8,,88
506,Halo 2,2004-11-09,XB,Microsoft Game Studios,Bungie Studios,8.0,8.0,,,,,,9.6,,96
507,Harry Potter and the Sorcerer's Stone,2001-11-15,PS,Electronic Arts,Argonaut Games,8.0,8.0,,,,,,8.0,,80
515,Sid Meier's Civilization V,2010-09-21,PC,2K Games,Firaxis Games,8.0,8.0,,,,,8.5,8.9,,89
517,The Sims 3,2009-06-02,PC,Electronic Arts,EA Redwood Shores,,7.96,1.01,6.46,,0.5,8.8,8.5,,85
520,Grand Theft Auto: Liberty City Stories,2005-10-25,PSP,Rockstar Games,Rockstar Leeds,,7.72,2.9,2.83,0.24,1.74,,8.8,,88
527,Bloodborne,2015-03-24,PS4,Sony Computer Entertainment,From Software,7.65,7.65,,,,,9.3,8.2,,82
528,God of War III,2010-03-16,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.6,7.6,,,,,9.4,9.2,9.4,92
529,Pokémon Platinum Version,2009-03-22,DS,Nintendo,Game Freak,7.6,7.6,,,,,,8.3,8.9,83
530,The Legend of Zelda: Ocarina of Time,1998-11-23,N64,Nintendo,Nintendo EAD,7.6,7.6,,,,,,9.9,10.0,99
532,Call of Duty: Advanced Warfare,2014-11-04,PS4,Activision,Sledgehammer Games,,7.53,2.84,3.34,0.14,1.22,,8.5,,85
535,The Legend of Zelda: Twilight Princess,2006-11-19,Wii,Nintendo,Nintendo EAD,7.5,7.5,,,,,9.3,9.5,9.6,95
536,Call of Duty: World at War,2008-11-10,X360,Activision,Treyarch,,7.5,4.88,1.91,,0.71,8.8,8.5,7.8,85
539,Super Mario Galaxy 2,2010-05-23,Wii,Nintendo,Nintendo EAD Tokyo,7.41,7.41,,,,,9.6,9.7,9.8,97
540,Super Smash Bros. Melee,2001-12-02,GC,Nintendo,HAL Laboratory,7.41,7.41,,,,,,9.2,,92
546,Battlefield 3,2011-10-25,X360,Electronic Arts,Dice,,7.35,4.47,2.12,0.06,0.69,,8.5,,85
553,Battlefield 1,2016-10-21,PS4,Electronic Arts,EA DICE,,7.26,2.2,3.65,0.29,1.12,,9.1,,91
554,Days Gone,2019-04-26,PS4,Sony Interactive Entertainment,SIE Bend Studio,7.24,7.24,,,,,,6.7,,67
555,Battlefield 3,2011-10-25,PS3,Electronic Arts,Dice,,7.21,2.86,2.94,0.35,1.07,,8.5,,85
558,Need for Speed Underground,2003-11-17,PS2,Electronic Arts,EA Black Box,,7.2,3.27,2.83,0.08,1.02,,8.6,,86
562,The Binding of Isaac,2011-09-28,PC,Edmund McMillen,Edmund McMillen,7.17,7.17,,,,,,8.3,,83
564,Pokémon Emerald Version,2005-04-30,GBA,Nintendo,Game Freak,7.06,7.06,,,,,,7.7,,77
590,Need for Speed Underground 2,2004-11-15,PS2,Electronic Arts,EA Black Box,,6.9,2.71,3.02,0.08,1.09,,8.3,,83
592,Mario Kart: Double Dash!!,2003-11-17,GC,Nintendo,Nintendo EAD,6.88,6.88,,,,,,8.5,,85
594,Medal of Honor: Frontline,2002-05-28,PS2,Electronic Arts,EA Los Angeles,,6.83,2.93,2.75,0.17,0.99,,9.0,,90
595,Crash Bandicoot,1996-09-01,PS,Sony Computer Entertainment,Naughty Dog,6.82,6.82,,,,,,7.8,,78
598,Uncharted 2: Among Thieves,2009-10-13,PS3,Sony Computer Entertainment,Naughty Dog,,6.74,3.28,2.22,0.21,1.02,9.2,9.5,9.6,95
600,Call of Duty 4: Modern Warfare,2007-11-05,PS3,Activision,Infinity Ward,,6.72,3.13,2.27,0.28,1.04,,9.5,9.6,95
601,Tomodachi Life,2014-06-06,3DS,Nintendo,Nintendo,6.72,6.72,,,,,,7.8,,78
605,FIFA Soccer 12,2011-09-27,PS3,EA Sports,EA Canada,,6.65,0.84,4.33,0.11,1.37,,9.2,,92
608,Fallout 4,2015-11-10,PC,Bethesda Softworks,Bethesda Game Studios,6.6,6.6,,,,,,9.0,,90
611,Red Dead Redemption,2011-10-11,PS3,Rockstar Games,Rockstar San Diego,,6.57,2.82,2.58,0.17,1.0,9.1,9.5,,95
612,Donkey Kong Country Returns,2010-11-21,Wii,Nintendo,Retro Studios,6.53,6.53,,,,,8.6,8.6,,86
614,The Legend of Zelda,1987-08-22,NES,Nintendo,Nintendo EAD,6.51,6.51,,,,,,9.0,,90
615,Assassin's Creed III,2012-10-30,PS3,Ubisoft,Ubisoft Montreal,,6.5,2.65,2.61,0.16,1.08,9.2,8.8,,88
617,Guild Wars,2005-04-26,PC,NCSoft,ArenaNet,6.5,6.5,,,,,,8.7,,87
620,Red Dead Redemption,2010-05-18,X360,Rockstar Games,Rockstar San Diego,,6.5,3.77,2.03,0.09,0.6,9.1,9.5,10.0,95
621,The Elder Scrolls V: Skyrim,2011-11-11,PS3,Bethesda Softworks,Bethesda Game Studios,,6.49,2.57,2.68,0.25,0.99,,9.0,,90
623,Luigi's Mansion: Dark Moon,2013-03-24,3DS,Nintendo,Next Level Games,6.48,6.48,,,,,7.0,8.6,,86
626,The Legend of Zelda: Ocarina of Time 3D,2011-06-19,3DS,Nintendo,GREZZO,6.44,6.44,,,,,9.2,9.3,,93
628,Final Fantasy XII,2006-10-31,PS2,Square Enix,Square Enix,6.4,6.4,,,,,,9.4,9.5,94
629,Pokémon Crystal Version,2001-07-29,GBC,Nintendo,Game Freak,6.39,6.39,,,,,,8.7,,87
631,Minecraft,2014-10-07,PS4,Sony Computer Entertainment,Mojang,,6.33,1.89,3.13,0.35,0.96,,9.4,,94
632,FIFA 15,2014-09-23,PS4,EA Sports,EA Canada,,6.32,0.83,4.49,0.05,0.94,8.8,8.1,,81
633,Kingdom Hearts,2002-09-16,PS2,Square EA,SquareSoft,6.3,6.3,,,,,,8.5,,85
634,Myst,1995-01-01,PC,Broderbund,Cyan Worlds,6.3,6.3,,,,,,8.9,,89
636,Driver,1999-06-30,PS,GT Interactive,Reflections Interactive,,6.27,3.11,2.8,0.02,0.33,,8.5,,85
640,Big Brain Academy,2006-06-05,DS,Nintendo,Nintendo EAD,6.15,6.15,,,,,,7.7,,77
651,Just Dance,2009-11-17,Wii,Ubisoft,Ubisoft Paris,6.0,6.0,,,,,,5.4,,54
654,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,PS3,Konami,Kojima Productions,6.0,6.0,,,,,9.5,9.3,9.8,93
659,Project Gotham Racing,2001-11-14,XB,Microsoft,Bizarre Creations,6.0,6.0,,,,,,8.4,,84
662,StarCraft II: Wings of Liberty,2010-07-27,PC,Blizzard Entertainment,Blizzard Entertainment,6.0,6.0,,,,,8.9,9.3,,93
663,Tekken 5,2005-02-24,PS2,Namco,Namco,6.0,6.0,,,,,,9.0,,90
665,Euro Truck Simulator 2,2013-01-16,PC,SCS Software,SCS Software,5.98,5.98,,,,,,8.5,,85
668,Mario Kart: Super Circuit,2001-08-26,GBA,Nintendo,Intelligent Systems,5.91,5.91,,,,,,9.3,,93
669,Super Mario Sunshine,2002-08-25,GC,Nintendo,Nintendo EAD,5.91,5.91,,,,,8.9,9.2,,92
671,Super Mario 3D World,2013-11-22,WiiU,Nintendo,Nintendo EAD Tokyo,5.89,5.89,,,,,9.3,9.5,,95
676,New Super Mario Bros. U,2012-11-18,WiiU,Nintendo,Nintendo EAD,5.82,5.82,,,,,8.2,8.4,,84
679,Link's Crossbow Training,2007-11-19,Wii,Nintendo,Nintendo EAD,5.79,5.79,,,,,6.9,6.9,,69
683,Tekken 2,1996-08-25,PS,Namco,Namco,,5.74,2.26,1.89,1.36,0.23,,9.1,,91
685,Crash Bandicoot 3: Warped,1998-10-31,PS,Sony Computer Entertainment,Naughty Dog,5.7,5.7,,,,,,9.3,,93
687,Super Mario World: Super Mario Advance 2,2002-02-09,GBA,Nintendo,Nintendo EAD,5.69,5.69,,,,,,9.4,,94
689,LEGO Star Wars: The Complete Saga,2007-11-06,Wii,LucasArts,Traveller's Tales,,5.66,3.57,1.57,,0.52,,8.0,,80
690,Cooking Mama,2006-09-12,DS,Majesco,Office Create,,5.66,3.09,1.92,0.07,0.58,,6.6,,66
691,Metal Gear Solid 2: Sons of Liberty,2001-11-12,PS2,Konami,Konami Computer Entertainment Japan,5.64,5.64,,,,,,9.5,7.0,95
694,Super Mario Advance,2001-06-10,GBA,Nintendo,Nintendo EAD,5.57,5.57,,,,,,8.2,,82
695,Assassin's Creed II,2009-11-17,PS3,Ubisoft,Ubisoft Montreal,,5.57,2.54,1.95,0.21,0.86,9.0,9.0,,90
696,Super Smash Bros.,1999-04-26,N64,Nintendo,HAL Laboratory,5.55,5.55,,,,,,8.4,,84
698,Assassin's Creed,2007-11-13,X360,Ubisoft,Ubisoft Montreal,,5.55,3.28,1.64,0.07,0.56,7.5,8.2,8.0,82
700,Batman: Arkham City,2011-10-18,PS3,Warner Bros. Interactive,Rocksteady Studios,,5.54,2.72,1.89,0.11,0.82,9.5,9.6,,96
701,Metal Gear Solid,1998-10-21,PS,Konami,Konami Computer Entertainment Japan,5.51,5.51,,,,,,9.3,,93
702,Forza Motorsport 3,2009-10-27,X360,Microsoft Game Studios,Turn 10 Studios,,5.5,2.99,1.9,0.1,0.51,,9.2,9.8,92
704,Detroit: Become Human,2018-05-25,PS4,Sony Interactive Entertainment,Quantic Dream,5.5,5.5,,,,,8.0,8.0,,80
706,Dragon Quest IX: Sentinels of the Starry Skies,2010-07-11,DS,Nintendo,Level 5,5.5,5.5,,,,,7.7,8.6,,86
707,Final Fantasy IX,2000-11-13,PS,Square,SquareSoft,5.5,5.5,,,,,,9.2,,92
708,Final Fantasy X-2,2003-11-18,PS2,Square Enix,Square Enix,5.5,5.5,,,,,,8.3,,83
711,Tomb Raider (2013),2013-03-05,PC,Square Enix,Crystal Dynamics,5.5,5.5,,,,,,8.8,,88
713,Pokémon Stadium,2000-03-06,N64,Nintendo,HAL Laboratory,5.46,5.46,,,,,,7.5,,75
716,Call of Duty: World at War,2008-11-10,PS3,Activision,Treyarch,,5.43,2.75,1.84,,0.84,8.8,8.4,,84
717,Super Mario Advance 4: Super Mario Bros. 3,2003-10-21,GBA,Nintendo,Nintendo EAD,5.43,5.43,,,,,,9.2,,92
718,Crash Bandicoot: The Wrath of Cortex,2001-10-29,PS2,Universal Interactive,Traveller's Tales,,5.42,2.07,2.29,0.24,0.82,,6.9,,69
721,Super Smash Bros. for Wii U,2014-11-21,WiiU,Nintendo,Bandai Namco Games,5.38,5.38,,,,,,9.2,,92
723,Final Fantasy XIII,2010-03-09,PS3,Square Enix,Square Enix,,5.35,1.75,1.23,1.87,0.51,9.0,8.0,9.2,80
724,Gran Turismo 5 Prologue,2008-04-15,PS3,Sony Computer Entertainment,Polyphony Digital,5.35,5.35,,,,,8.4,8.3,,83
728,Pokémon Pinball,1999-07-31,GBC,Nintendo,Jupiter Corporation,5.31,5.31,,,,,,8.7,,87
730,Assassin's Creed II,2009-11-17,X360,Ubisoft,Ubisoft Montreal,,5.3,3.14,1.55,0.08,0.52,9.0,9.1,,91
734,Donkey Kong 64,1999-11-22,N64,Nintendo,Rare Ltd.,5.27,5.27,,,,,,9.3,,93
738,Tomb Raider II,1997-10-31,PS,Eidos Interactive,Core Design Ltd.,,5.24,2.3,2.46,0.2,0.28,,7.6,,76
739,Madden NFL 2004,2003-08-12,PS2,EA Sports,EA Tiburon,,5.23,4.26,0.26,0.01,0.71,,9.5,,95
742,Call of Duty: Advanced Warfare,2014-11-04,XOne,Activision,Sledgehammer Games,,5.22,3.25,1.49,0.01,0.48,,8.3,,83
743,Fallout: New Vegas,2010-10-19,PC,Bethesda Softworks,Obsidian Entertainment,5.22,5.22,,,,,,8.3,,83
744,Gran Turismo 6,2013-12-06,PS3,Sony Computer Entertainment America,Polyphony Digital,5.22,5.22,,,,,,8.6,,86
745,Nintendo Land,2012-11-18,WiiU,Nintendo,Nintendo,5.21,5.21,,,,,8.0,7.5,,75
746,Kingdom Hearts II,2006-03-28,PS2,Square Enix,Square Enix,5.2,5.2,,,,,,8.3,,83
747,Super Mario Land 3: Wario Land,1994-02-09,GB,Nintendo,Nintendo R&D1,5.19,5.19,,,,,,7.9,,79
748,Donkey Kong Country 2: Diddy's Kong Quest,1995-11-20,SNES,Nintendo,Rare Ltd.,5.15,5.15,,,,,,9.3,,93
750,Medal of Honor: Rising Sun,2003-11-11,PS2,Electronic Arts,EA Los Angeles,,5.13,1.98,2.23,0.13,0.8,,5.9,,59
751,Battlefield 1,2016-10-21,XOne,Electronic Arts,EA DICE,,5.13,3.37,1.26,0.02,0.48,,9.3,,93
754,Microsoft Flight Simulator,1996-10-31,PC,Microsoft,Microsoft,,5.12,3.22,1.69,,0.2,,7.0,,70
755,Guitar Hero II,2006-11-07,PS2,RedOctane,Harmonix Music Systems,,5.12,3.81,0.63,,0.68,,9.2,,92
757,Resident Evil 5,2009-03-13,PS3,Capcom,Capcom,,5.1,1.96,1.42,1.08,0.64,8.4,8.6,8.8,86
758,Fable III,2010-10-26,X360,Microsoft Game Studios,Lionhead Studios,,5.1,3.59,1.09,0.05,0.37,9.0,7.8,,78
761,Mario & Sonic at the Olympic Games,2008-01-22,DS,Sega,Sega,,5.1,1.63,2.46,0.44,0.57,,7.0,,70
764,Grand Theft Auto: Vice City Stories,2006-10-31,PSP,Rockstar Games,Rockstar Leeds,,5.08,1.7,2.03,0.16,1.19,,8.4,,84
765,FIFA Soccer 11,2010-09-28,PS3,EA Sports,EA Canada,,5.08,0.61,3.28,0.06,1.12,8.6,8.7,,87
